Latitude,Longitude  ,_Time_,Route,WhichBusStop
33.771839,-84.391991,20052,Blue,
33.771839,-84.391991,20053,Blue,
33.771851,-84.391953,20106,Blue,
33.771931,-84.391953,20109,Blue,
33.773811,-84.39193,20139,Blue,
33.774979,-84.391891,20158,Blue,
33.77499,-84.391891,20200,Blue,
33.775009,-84.391922,20213,Blue,
33.775021,-84.391922,20215,Blue,
33.775921,-84.393448,20245,Blue,
33.77544,-84.395241,20315,Blue,
33.775299,-84.396141,20335,Blue,
33.775299,-84.396133,20336,Blue,
33.77528,-84.396118,21358,Blue,
33.77528,-84.396118,21402,Blue,
33.775631,-84.39492,21432,Blue,
33.775928,-84.39373,21502,Blue,
33.775101,-84.391991,21532,Blue,
33.775009,-84.392014,21533,Blue,
33.774979,-84.392021,21535,Blue,
33.77496,-84.392029,21550,Blue,
33.77496,-84.392029,21552,Blue,
33.773701,-84.392021,21622,Blue,
33.771519,-84.392082,21645,Blue,
33.771511,-84.392082,21647,Blue,
33.77153,-84.392113,21713,Blue,
33.771431,-84.394432,21743,Blue,
33.772301,-84.395508,21813,Blue,
33.772861,-84.397057,21843,Blue,
33.773201,-84.397003,21900,Blue,
33.77322,-84.397003,21902,Blue,
33.773201,-84.396988,21914,Blue,
33.773209,-84.39698,21922,Blue,
33.772991,-84.397087,21952,Blue,
33.773411,-84.399109,22022,Blue,
33.774101,-84.402107,22052,Blue,
33.77504,-84.402367,22115,Blue,
33.77507,-84.402382,22118,Blue,
33.775082,-84.402382,22125,Blue,
33.775082,-84.40239,22128,Blue,
33.776489,-84.402473,22158,Blue,
33.777248,-84.403488,22228,Blue,
33.778149,-84.404221,22258,Blue,
33.778271,-84.404213,22304,Blue,
33.778271,-84.404213,22304,Blue,
33.778271,-84.404213,22334,Blue,
33.778259,-84.404198,22411,Blue,
33.778271,-84.404198,22417,Blue,
33.779381,-84.404167,22447,Blue,
33.77964,-84.402931,22517,Blue,
33.779652,-84.402809,22520,Blue,
33.779758,-84.402847,22522,Blue,
33.779819,-84.402786,22531,Blue,
33.7798,-84.402802,22533,Blue,
33.779789,-84.402542,22547,Blue,
33.779789,-84.402519,22552,Blue,
33.778358,-84.401512,22622,Blue,
33.776089,-84.402443,22652,Blue,
33.775291,-84.402542,22708,Blue,
33.775269,-84.402542,22710,Blue,
33.7752,-84.402634,22728,Blue,
33.775188,-84.402634,22738,Blue,
33.77446,-84.402512,22803,Blue,
33.774448,-84.402512,22820,Blue,
33.77356,-84.400421,22850,Blue,
33.772861,-84.397263,22920,Blue,
33.773121,-84.396889,22939,Blue,
33.773151,-84.396896,22942,Blue,
33.773151,-84.396957,22956,Blue,
33.773159,-84.396957,22957,Blue,
33.77272,-84.397087,23027,Blue,
33.77219,-84.395493,23057,Blue,
33.77132,-84.394363,23127,Blue,
33.77129,-84.39241,23147,Blue,
33.77129,-84.392464,23158,Blue,
33.771839,-84.39196,23217,Blue,
33.77187,-84.391983,23220,Blue,
33.7719,-84.39209,23236,Blue,
33.771889,-84.39209,23239,Blue,
33.773979,-84.391991,23309,Blue,
33.775002,-84.39196,23322,Blue,
33.77504,-84.39196,23325,Blue,
33.775021,-84.39193,23332,Blue,
33.775028,-84.39193,23336,Blue,
33.77594,-84.393532,23406,Blue,
33.775532,-84.395126,23436,Blue,
33.77528,-84.396141,23501,Blue,
33.77528,-84.396133,23502,Blue,
33.77528,-84.396088,23532,Blue,
33.775291,-84.396111,23837,Blue,
33.775291,-84.396111,23846,Blue,
33.77565,-84.394943,23916,Blue,
33.77597,-84.393959,23942,Blue,
33.775982,-84.393944,23945,Blue,
33.775188,-84.392151,24015,Blue,
33.77515,-84.392059,24022,Blue,
33.77515,-84.392036,24023,Blue,
33.77499,-84.391998,24031,Blue,
33.77496,-84.391998,24033,Blue,
33.774948,-84.392021,24045,Blue,
33.77494,-84.392029,24048,Blue,
33.772789,-84.392021,24118,Blue,
33.771519,-84.39209,24133,Blue,
33.7715,-84.39209,24135,Blue,
33.771511,-84.39209,24304,Blue,
33.7715,-84.39209,24306,Blue,
33.771481,-84.392097,24312,Blue,
33.771469,-84.392097,24324,Blue,
33.771351,-84.39328,24354,Blue,
33.771351,-84.39328,24354,Blue,
33.771351,-84.39328,24408,Blue,
33.77142,-84.395569,24438,Blue,
33.772518,-84.396133,24508,Blue,
33.77306,-84.396957,24538,Blue,
33.773151,-84.39695,24540,Blue,
33.773178,-84.396957,24543,Blue,
33.77314,-84.396881,24601,Blue,
33.773151,-84.396881,24609,Blue,
33.772911,-84.397072,24639,Blue,
33.773548,-84.39994,24709,Blue,
33.774181,-84.402206,24733,Blue,
33.774151,-84.402199,24749,Blue,
33.775051,-84.402367,24816,Blue,
33.77507,-84.402382,24818,Blue,
33.77507,-84.402382,24820,Blue,
33.775082,-84.402382,24825,Blue,
33.776051,-84.402481,24855,Blue,
33.77726,-84.402733,24925,Blue,
33.777328,-84.404213,24955,Blue,
33.778221,-84.404259,25018,Blue,
33.778221,-84.404251,25020,Blue,
33.77821,-84.404182,25050,Blue,
33.778259,-84.403908,25316,Blue,
33.778271,-84.403908,25325,Blue,
33.779579,-84.403923,25355,Blue,
33.779621,-84.40287,25420,Blue,
33.779621,-84.40284,25423,Blue,
33.779659,-84.402878,25435,Blue,
33.779659,-84.402878,25437,Blue,
33.77879,-84.401749,25507,Blue,
33.77681,-84.402458,25537,Blue,
33.77552,-84.402527,25555,Blue,
33.775539,-84.402527,25559,Blue,
33.7752,-84.402618,25610,Blue,
33.775181,-84.402618,25612,Blue,
33.775188,-84.402634,25626,Blue,
33.7752,-84.402634,25633,Blue,
33.773842,-84.401909,25703,Blue,
33.773239,-84.39814,25733,Blue,
33.772881,-84.397041,25752,Blue,
33.772888,-84.397034,25753,Blue,
33.773121,-84.396889,25802,Blue,
33.773159,-84.396889,25806,Blue,
33.773159,-84.396889,25815,Blue,
33.77317,-84.396896,25817,Blue,
33.772751,-84.397087,25847,Blue,
33.77227,-84.395531,25917,Blue,
33.771439,-84.395531,25934,Blue,
33.771439,-84.395531,25935,Blue,
33.771431,-84.395531,25936,Blue,
33.77142,-84.395523,25944,Blue,
33.771309,-84.392509,30014,Blue,
33.771801,-84.391998,30031,Blue,
33.771858,-84.391998,30035,Blue,
33.771759,-84.392036,30043,Blue,
33.771751,-84.392052,30045,Blue,
33.773239,-84.392036,30115,Blue,
33.77364,-84.392036,30124,Blue,
33.773769,-84.392014,30133,Blue,
33.775028,-84.391968,30153,Blue,
33.775028,-84.391968,30155,Blue,
33.775002,-84.391907,30203,Blue,
33.775021,-84.391922,30206,Blue,
33.775051,-84.39193,30210,Blue,
33.775059,-84.391937,30212,Blue,
33.775928,-84.393547,30242,Blue,
33.775379,-84.39547,30312,Blue,
33.775311,-84.396172,30331,Blue,
33.77528,-84.396179,30332,Blue,
33.77523,-84.396149,30402,Blue,
33.775318,-84.396118,31235,Blue,
33.775318,-84.396111,31242,Blue,
33.775711,-84.394852,31312,Blue,
33.77594,-84.3936,31342,Blue,
33.77504,-84.391991,31412,Blue,
33.774948,-84.392021,31415,Blue,
33.77494,-84.392036,31427,Blue,
33.774921,-84.392036,31429,Blue,
33.77401,-84.392021,31450,Blue,
33.77401,-84.392021,31452,Blue,
33.771679,-84.392029,31522,Blue,
33.771469,-84.392059,31525,Blue,
33.77145,-84.392059,31527,Blue,
33.771301,-84.391869,31546,Blue,
33.77129,-84.391876,31549,Blue,
33.771191,-84.393059,31612,Blue,
33.771252,-84.39312,31634,Blue,
33.771389,-84.39547,31704,Blue,
33.772282,-84.395897,31734,Blue,
33.772751,-84.397049,31753,Blue,
33.772751,-84.397049,31754,Blue,
33.77343,-84.399902,31824,Blue,
33.77412,-84.402199,31848,Blue,
33.774151,-84.402161,31923,Blue,
33.775028,-84.402359,31947,Blue,
33.775059,-84.402367,31949,Blue,
33.775051,-84.402367,32013,Blue,
33.775051,-84.402382,32016,Blue,
33.776321,-84.402473,32046,Blue,
33.777199,-84.402397,32100,Blue,
33.777161,-84.40229,32106,Blue,
33.777309,-84.403862,32136,Blue,
33.778198,-84.404114,32205,Blue,
33.778198,-84.404114,32207,Blue,
33.778111,-84.40416,32237,Blue,
33.778111,-84.40416,32453,Blue,
33.778111,-84.40416,32502,Blue,
33.7794,-84.404213,32532,Blue,
33.779572,-84.402946,32601,Blue,
33.779572,-84.402893,32604,Blue,
33.77961,-84.402931,32611,Blue,
33.779621,-84.402924,32620,Blue,
33.778709,-84.40168,32650,Blue,
33.776932,-84.402481,32720,Blue,
33.775421,-84.402573,32750,Blue,
33.775131,-84.402649,32801,Blue,
33.775089,-84.402641,32804,Blue,
33.775101,-84.402641,32814,Blue,
33.775089,-84.402641,32832,Blue,
33.77364,-84.401131,32902,Blue,
33.772991,-84.397392,32932,Blue,
33.7729,-84.397278,32936,Blue,
33.772869,-84.397339,32942,Blue,
33.772888,-84.39711,32952,Blue,
33.772888,-84.39711,32953,Blue,
33.77317,-84.396988,33004,Blue,
33.773201,-84.396988,33006,Blue,
33.773201,-84.39698,33015,Blue,
33.773201,-84.396988,33018,Blue,
33.77282,-84.397102,33048,Blue,
33.77216,-84.395538,33118,Blue,
33.77129,-84.394028,33148,Blue,
33.77129,-84.392303,33206,Blue,
33.77129,-84.392303,33209,Blue,
33.77182,-84.39193,33225,Blue,
33.771858,-84.391899,33228,Blue,
33.771778,-84.392021,33241,Blue,
33.771801,-84.392014,33247,Blue,
33.773689,-84.391998,33314,Blue,
33.773701,-84.391983,33333,Blue,
33.774921,-84.391937,33353,Blue,
33.774948,-84.391937,33356,Blue,
33.774948,-84.391937,33357,Blue,
33.77499,-84.39196,33402,Blue,
33.775902,-84.393433,33432,Blue,
33.775471,-84.395157,33502,Blue,
33.775341,-84.396103,33526,Blue,
33.775341,-84.396103,33526,Blue,
33.775341,-84.396072,33556,Blue,
33.775341,-84.396103,33907,Blue,
33.77533,-84.396111,33914,Blue,
33.775349,-84.395409,33944,Blue,
33.775829,-84.394379,34004,Blue,
33.775829,-84.394371,34006,Blue,
33.775902,-84.393951,34028,Blue,
33.77589,-84.393944,34030,Blue,
33.77512,-84.392097,34100,Blue,
33.77496,-84.392014,34110,Blue,
33.774929,-84.392014,34113,Blue,
33.774948,-84.392014,34126,Blue,
33.77494,-84.392014,34128,Blue,
33.772572,-84.391968,34158,Blue,
33.771511,-84.392082,34211,Blue,
33.771488,-84.392082,34213,Blue,
33.77153,-84.392021,34243,Blue,
33.771549,-84.391983,34307,Blue,
33.771549,-84.391983,34309,Blue,
33.7715,-84.391991,34316,Blue,
33.771439,-84.392052,34322,Blue,
33.771381,-84.394722,34352,Blue,
33.772251,-84.395378,34422,Blue,
33.772812,-84.397034,34452,Blue,
33.773129,-84.39698,34510,Blue,
33.773151,-84.39698,34513,Blue,
33.773151,-84.39698,34514,Blue,
33.773159,-84.396957,34518,Blue,
33.772991,-84.397072,34548,Blue,
33.773441,-84.399208,34618,Blue,
33.774319,-84.40242,34648,Blue,
33.77504,-84.402382,34704,Blue,
33.775082,-84.402397,34707,Blue,
33.775082,-84.40239,34708,Blue,
33.775059,-84.402367,34712,Blue,
33.77644,-84.402473,34742,Blue,
33.777248,-84.40303,34812,Blue,
33.777599,-84.404243,34842,Blue,
33.778172,-84.404243,34855,Blue,
33.778172,-84.404243,34856,Blue,
33.778198,-84.404243,35330,Blue,
33.779518,-84.404243,35359,Blue,
33.779518,-84.404243,35400,Blue,
33.779621,-84.402962,35429,Blue,
33.779621,-84.402931,35432,Blue,
33.77961,-84.402931,35443,Blue,
